fm,ChatDev,AG2,AppWorld,HyperAgent,MetaGPT,MagenticOne,OpenManus
1.1,Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global)
1.2,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
1.3,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
1.4,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
1.5,Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global)
2.1,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
2.2,Reliable,Partially Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
2.3,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
2.4,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
2.5,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
2.6,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
3.1,Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global),Unreliable (Global)
3.2,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
3.3,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable,Reliable
