framework,fm,n_traces,n_present,prevalence_pct,mean_pct,median_pct,std_pct,min_pct,max_pct
ChatDev,1.1,2,0,0.0,,,,,
ChatDev,1.2,2,1,50.0,90.0,90.0,,90.0,90.0
ChatDev,1.3,2,1,50.0,90.0,90.0,,90.0,90.0
ChatDev,1.4,2,0,0.0,,,,,
ChatDev,1.5,2,1,50.0,,,,,
ChatDev,2.1,2,0,0.0,,,,,
ChatDev,2.2,2,1,50.0,91.0,91.0,,91.0,91.0
ChatDev,2.3,2,1,50.0,90.0,90.0,,90.0,90.0
ChatDev,2.4,2,0,0.0,,,,,
ChatDev,2.5,2,1,50.0,90.0,90.0,,90.0,90.0
ChatDev,2.6,2,2,100.0,55.5,55.5,48.8,21.0,90.0
ChatDev,3.1,2,0,0.0,,,,,
ChatDev,3.2,2,1,50.0,79.0,79.0,,79.0,79.0
ChatDev,3.3,2,1,50.0,79.0,79.0,,79.0,79.0
AG2,1.1,2,1,50.0,,,,,
AG2,1.2,2,0,0.0,,,,,
AG2,1.3,2,0,0.0,,,,,
AG2,1.4,2,0,0.0,,,,,
AG2,1.5,2,0,0.0,,,,,
AG2,2.1,2,0,0.0,,,,,
AG2,2.2,2,2,100.0,33.0,33.0,0.0,33.0,33.0
AG2,2.3,2,0,0.0,,,,,
AG2,2.4,2,0,0.0,,,,,
AG2,2.5,2,0,0.0,,,,,
AG2,2.6,2,0,0.0,,,,,
AG2,3.1,2,1,50.0,,,,,
AG2,3.2,2,1,50.0,100.0,100.0,,100.0,100.0
AG2,3.3,2,0,0.0,,,,,
AppWorld,1.1,2,1,50.0,,,,,
AppWorld,1.2,2,0,0.0,,,,,
AppWorld,1.3,2,1,50.0,3.0,3.0,,3.0,3.0
AppWorld,1.4,2,0,0.0,,,,,
AppWorld,1.5,2,0,0.0,,,,,
AppWorld,2.1,2,0,0.0,,,,,
AppWorld,2.2,2,0,0.0,,,,,
AppWorld,2.3,2,0,0.0,,,,,
AppWorld,2.4,2,0,0.0,,,,,
AppWorld,2.5,2,0,0.0,,,,,
AppWorld,2.6,2,2,100.0,18.5,18.5,0.7,18.0,19.0
AppWorld,3.1,2,0,0.0,,,,,
AppWorld,3.2,2,1,50.0,90.0,90.0,,90.0,90.0
AppWorld,3.3,2,0,0.0,,,,,
HyperAgent,1.1,2,1,50.0,,,,,
HyperAgent,1.2,2,1,50.0,38.0,38.0,,38.0,38.0
HyperAgent,1.3,2,2,100.0,66.5,66.5,3.5,64.0,69.0
HyperAgent,1.4,2,0,0.0,,,,,
HyperAgent,1.5,2,0,0.0,,,,,
HyperAgent,2.1,2,0,0.0,,,,,
HyperAgent,2.2,2,1,50.0,62.0,62.0,,62.0,62.0
HyperAgent,2.3,2,0,0.0,,,,,
HyperAgent,2.4,2,1,50.0,62.0,62.0,,62.0,62.0
HyperAgent,2.5,2,1,50.0,67.0,67.0,,67.0,67.0
HyperAgent,2.6,2,2,100.0,62.0,62.0,0.0,62.0,62.0
HyperAgent,3.1,2,0,0.0,,,,,
HyperAgent,3.2,2,2,100.0,92.5,92.5,10.6,85.0,100.0
HyperAgent,3.3,2,1,50.0,87.0,87.0,,87.0,87.0
MetaGPT,1.1,2,1,50.0,,,,,
MetaGPT,1.2,2,0,0.0,,,,,
MetaGPT,1.3,2,0,0.0,,,,,
MetaGPT,1.4,2,0,0.0,,,,,
MetaGPT,1.5,2,0,0.0,,,,,
MetaGPT,2.1,2,0,0.0,,,,,
MetaGPT,2.2,2,0,0.0,,,,,
MetaGPT,2.3,2,0,0.0,,,,,
MetaGPT,2.4,2,0,0.0,,,,,
MetaGPT,2.5,2,1,50.0,80.0,80.0,,80.0,80.0
MetaGPT,2.6,2,0,0.0,,,,,
MetaGPT,3.1,2,1,50.0,,,,,
MetaGPT,3.2,2,2,100.0,40.0,40.0,0.0,40.0,40.0
MetaGPT,3.3,2,0,0.0,,,,,
MagenticOne,1.1,2,2,100.0,,,,,
MagenticOne,1.2,2,0,0.0,,,,,
MagenticOne,1.3,2,0,0.0,,,,,
MagenticOne,1.4,2,0,0.0,,,,,
MagenticOne,1.5,2,1,50.0,,,,,
MagenticOne,2.1,2,0,0.0,,,,,
MagenticOne,2.2,2,1,50.0,100.0,100.0,,100.0,100.0
MagenticOne,2.3,2,0,0.0,,,,,
MagenticOne,2.4,2,0,0.0,,,,,
MagenticOne,2.5,2,0,0.0,,,,,
MagenticOne,2.6,2,1,50.0,100.0,100.0,,100.0,100.0
MagenticOne,3.1,2,1,50.0,,,,,
MagenticOne,3.2,2,2,100.0,96.0,96.0,5.7,92.0,100.0
MagenticOne,3.3,2,0,0.0,,,,,
OpenManus,1.1,2,1,50.0,,,,,
OpenManus,1.2,2,0,0.0,,,,,
OpenManus,1.3,2,2,100.0,74.5,74.5,3.5,72.0,77.0
OpenManus,1.4,2,0,0.0,,,,,
OpenManus,1.5,2,1,50.0,,,,,
OpenManus,2.1,2,0,0.0,,,,,
OpenManus,2.2,2,1,50.0,48.0,48.0,,48.0,48.0
OpenManus,2.3,2,0,0.0,,,,,
OpenManus,2.4,2,0,0.0,,,,,
OpenManus,2.5,2,0,0.0,,,,,
OpenManus,2.6,2,1,50.0,12.0,12.0,,12.0,12.0
OpenManus,3.1,2,0,0.0,,,,,
OpenManus,3.2,2,2,100.0,75.0,75.0,12.7,66.0,84.0
OpenManus,3.3,2,0,0.0,,,,,
