framework,trace_idx,repeat,fm,judge,forced,semi,relaxed
ChatDev,17,1,1.1,0,~,~,"26,47"
ChatDev,17,1,1.2,1,?,"21,25,32,36,42,46",
ChatDev,17,1,1.3,1,"21,25,32,36,42,46,54,58,59,63","21,25,32,36,42,46,58","58,59"
ChatDev,17,1,1.4,0,~,~,
ChatDev,17,1,1.5,0,~,~,
ChatDev,17,1,2.1,0,~,~,
ChatDev,17,1,2.2,0,~,~,
ChatDev,17,1,2.3,0,~,~,
ChatDev,17,1,2.4,0,~,~,
ChatDev,17,1,2.5,0,~,~,
ChatDev,17,1,2.6,1,"26,47",26,"26,47"
ChatDev,17,1,3.1,0,~,~,
ChatDev,17,1,3.2,0,~,~,
ChatDev,17,1,3.3,1,22,22,22
ChatDev,17,2,1.1,0,~,~,
ChatDev,17,2,1.2,0,~,~,
ChatDev,17,2,1.3,1,"4,9,13,21,25,32,36,42,46,54,58",47,
ChatDev,17,2,1.4,0,~,~,
ChatDev,17,2,1.5,0,~,~,
ChatDev,17,2,2.1,0,~,~,
ChatDev,17,2,2.2,0,~,~,
ChatDev,17,2,2.3,0,~,~,
ChatDev,17,2,2.4,0,~,~,
ChatDev,17,2,2.5,0,~,~,
ChatDev,17,2,2.6,1,22,RETRACTED,26
ChatDev,17,2,3.1,0,~,~,
ChatDev,17,2,3.2,0,~,~,
ChatDev,17,2,3.3,0,~,~,22
ChatDev,17,3,1.1,0,~,~,"14,26,32,37,42,64"
ChatDev,17,3,1.2,0,~,~,"21,25,32,36,42,46,54,58,59,63"
ChatDev,17,3,1.3,0,~,~,"3,8,12,20,21,24,25,31,32,35,36,41,42,45,46,53,54,57,58,59,62,63"
ChatDev,17,3,1.4,0,~,~,
ChatDev,17,3,1.5,0,~,~,
ChatDev,17,3,2.1,0,~,~,
ChatDev,17,3,2.2,0,~,~,
ChatDev,17,3,2.3,0,~,~,"58,59"
ChatDev,17,3,2.4,0,~,~,
ChatDev,17,3,2.5,0,~,~,
ChatDev,17,3,2.6,1,22,22,"25,26,46,47"
ChatDev,17,3,3.1,0,~,~,
ChatDev,17,3,3.2,0,~,~,"22,43,51"
ChatDev,17,3,3.3,1,22,22,"22,43,51"
ChatDev,17,4,1.1,0,~,~,
ChatDev,17,4,1.2,0,~,~,22
ChatDev,17,4,1.3,0,~,~,"25,58,59"
ChatDev,17,4,1.4,0,~,~,
ChatDev,17,4,1.5,0,~,~,
ChatDev,17,4,2.1,0,~,~,
ChatDev,17,4,2.2,0,~,~,
ChatDev,17,4,2.3,0,~,~,
ChatDev,17,4,2.4,0,~,~,
ChatDev,17,4,2.5,0,~,~,
ChatDev,17,4,2.6,1,26,22,
ChatDev,17,4,3.1,0,~,~,
ChatDev,17,4,3.2,0,~,~,"22,25"
ChatDev,17,4,3.3,1,22,22,
ChatDev,17,5,1.1,0,~,~,11
ChatDev,17,5,1.2,0,~,~,"58,59"
ChatDev,17,5,1.3,1,59,"21,25,32,36,42,46,54,58","58,59"
ChatDev,17,5,1.4,0,~,~,
ChatDev,17,5,1.5,1,global,global,"58,59"
ChatDev,17,5,2.1,0,~,~,
ChatDev,17,5,2.2,0,~,~,
ChatDev,17,5,2.3,0,~,~,"58,59"
ChatDev,17,5,2.4,0,~,~,
ChatDev,17,5,2.5,0,~,~,
ChatDev,17,5,2.6,1,22,"25,46","25,26,46,47"
ChatDev,17,5,3.1,1,global,RETRACTED,
ChatDev,17,5,3.2,0,~,~,
ChatDev,17,5,3.3,1,22,22,33
ChatDev,17,6,1.1,1,global,RETRACTED,global
ChatDev,17,6,1.2,0,~,~,"21,25,26,32,36,42,46,47,58,59"
ChatDev,17,6,1.3,1,"9,21,25,32,36,42,46,54,58,63",30,"21,25,32,36,37,42,46,47,54,58,59,63"
