framework,trace_idx,repeat,fm,judge,forced,semi,relaxed
HyperAgent,9,1,1.1,0,~,~,
HyperAgent,9,1,1.2,0,~,~,
HyperAgent,9,1,1.3,1,"12,13","12,13",13
HyperAgent,9,1,1.4,0,~,~,
HyperAgent,9,1,1.5,0,~,~,
HyperAgent,9,1,2.1,0,~,~,
HyperAgent,9,1,2.2,0,~,~,
HyperAgent,9,1,2.3,0,~,~,19
HyperAgent,9,1,2.4,0,~,~,
HyperAgent,9,1,2.5,0,~,~,19
HyperAgent,9,1,2.6,1,"8,19",8,8
HyperAgent,9,1,3.1,0,~,~,12
HyperAgent,9,1,3.2,0,~,~,"12,19,20"
HyperAgent,9,1,3.3,0,~,~,20
HyperAgent,9,2,1.1,0,~,~,
HyperAgent,9,2,1.2,0,~,~,
HyperAgent,9,2,1.3,1,13,"12,13",13
HyperAgent,9,2,1.4,0,~,~,19
HyperAgent,9,2,1.5,0,~,~,19
HyperAgent,9,2,2.1,0,~,~,
HyperAgent,9,2,2.2,0,~,~,
HyperAgent,9,2,2.3,1,19,"15,16,17,18,19",
HyperAgent,9,2,2.4,0,~,~,
HyperAgent,9,2,2.5,0,~,~,19
HyperAgent,9,2,2.6,1,8,8,"8,19"
HyperAgent,9,2,3.1,0,~,~,20
HyperAgent,9,2,3.2,0,~,~,"19,20"
HyperAgent,9,2,3.3,0,~,~,
HyperAgent,9,3,1.1,0,~,~,16
HyperAgent,9,3,1.2,0,~,~,9
HyperAgent,9,3,1.3,1,13,"13,19",13
HyperAgent,9,3,1.4,1,19,19,19
HyperAgent,9,3,1.5,0,~,~,
HyperAgent,9,3,2.1,0,~,~,19
HyperAgent,9,3,2.2,0,~,~,15
HyperAgent,9,3,2.3,1,"15,16,17,18,19",19,"16,17,18,19"
HyperAgent,9,3,2.4,0,~,~,7
HyperAgent,9,3,2.5,0,~,~,14
HyperAgent,9,3,2.6,1,8,8,"8,9,11,15,16,17"
HyperAgent,9,3,3.1,0,~,~,"12,13,20"
HyperAgent,9,3,3.2,0,~,~,"11,12,13,20"
HyperAgent,9,3,3.3,0,~,~,"19,20"
HyperAgent,9,4,1.1,0,~,~,
HyperAgent,9,4,1.2,0,~,~,
HyperAgent,9,4,1.3,1,13,13,13
HyperAgent,9,4,1.4,0,~,~,19
HyperAgent,9,4,1.5,0,~,~,
HyperAgent,9,4,2.1,0,~,~,
HyperAgent,9,4,2.2,0,~,~,
HyperAgent,9,4,2.3,0,~,~,
HyperAgent,9,4,2.4,0,~,~,
HyperAgent,9,4,2.5,0,~,~,
HyperAgent,9,4,2.6,1,8,8,"7,8"
HyperAgent,9,4,3.1,0,~,~,
HyperAgent,9,4,3.2,0,~,~,"19,20"
HyperAgent,9,4,3.3,0,~,~,
HyperAgent,9,5,1.1,1,global,"16,19","16,19"
HyperAgent,9,5,1.2,0,~,~,19
HyperAgent,9,5,1.3,1,13,13,13
HyperAgent,9,5,1.4,0,~,~,
HyperAgent,9,5,1.5,0,~,~,global
HyperAgent,9,5,2.1,0,~,~,
HyperAgent,9,5,2.2,0,~,~,
HyperAgent,9,5,2.3,1,"16,17,18,19",RETRACTED,
HyperAgent,9,5,2.4,0,~,~,
HyperAgent,9,5,2.5,0,~,~,
HyperAgent,9,5,2.6,1,8,8,"8,19"
HyperAgent,9,5,3.1,0,~,~,
HyperAgent,9,5,3.2,0,~,~,19
HyperAgent,9,5,3.3,0,~,~,20
HyperAgent,9,6,1.1,0,~,~,global
HyperAgent,9,6,1.2,0,~,~,
HyperAgent,9,6,1.3,1,"12,13","12,13",13
HyperAgent,9,6,1.4,0,~,~,19
HyperAgent,9,6,1.5,0,~,~,global
HyperAgent,9,6,2.1,0,~,~,
HyperAgent,9,6,2.2,0,~,~,
HyperAgent,9,6,2.3,0,~,~,16
HyperAgent,9,6,2.4,0,~,~,
HyperAgent,9,6,2.5,0,~,~,20
HyperAgent,9,6,2.6,1,8,8,"8,11,19"
HyperAgent,9,6,3.1,0,~,~,
HyperAgent,9,6,3.2,0,~,~,"19,20"
HyperAgent,9,6,3.3,0,~,~,12
HyperAgent,9,7,1.1,0,~,~,16
HyperAgent,9,7,1.2,0,~,~,
HyperAgent,9,7,1.3,1,"12,13",13,"12,13"
HyperAgent,9,7,1.4,0,~,~,
HyperAgent,9,7,1.5,0,~,~,20
HyperAgent,9,7,2.1,0,~,~,
HyperAgent,9,7,2.2,0,~,~,
HyperAgent,9,7,2.3,0,~,~,16
HyperAgent,9,7,2.4,0,~,~,
HyperAgent,9,7,2.5,0,~,~,20
HyperAgent,9,7,2.6,1,8,8,"8,19"
HyperAgent,9,7,3.1,0,~,~,
HyperAgent,9,7,3.2,0,~,~,"12,13,19"
HyperAgent,9,7,3.3,0,~,~,20
HyperAgent,9,8,1.1,0,~,~,
HyperAgent,9,8,1.2,1,19,RETRACTED,
HyperAgent,9,8,1.3,1,13,13,13
HyperAgent,9,8,1.4,0,~,~,19
HyperAgent,9,8,1.5,0,~,~,
HyperAgent,9,8,2.1,0,~,~,
HyperAgent,9,8,2.2,1,20,19,
HyperAgent,9,8,2.3,1,16,RETRACTED,
HyperAgent,9,8,2.4,0,~,~,19
HyperAgent,9,8,2.5,0,~,~,20
HyperAgent,9,8,2.6,1,8,"8,19","8,19"
HyperAgent,9,8,3.1,0,~,~,
HyperAgent,9,8,3.2,0,~,~,20
HyperAgent,9,8,3.3,1,"19,20","19,20",
HyperAgent,9,9,1.1,0,~,~,
HyperAgent,9,9,1.2,0,~,~,
HyperAgent,9,9,1.3,1,"12,13","12,13",13
HyperAgent,9,9,1.4,0,~,~,19
HyperAgent,9,9,1.5,0,~,~,
HyperAgent,9,9,2.1,0,~,~,
HyperAgent,9,9,2.2,0,~,~,
HyperAgent,9,9,2.3,0,~,~,16
HyperAgent,9,9,2.4,0,~,~,16
HyperAgent,9,9,2.5,0,~,~,
HyperAgent,9,9,2.6,1,"8,19",8,"8,19"
HyperAgent,9,9,3.1,0,~,~,
HyperAgent,9,9,3.2,0,~,~,"12,20"
HyperAgent,9,9,3.3,0,~,~,
HyperAgent,9,10,1.1,0,~,~,
HyperAgent,9,10,1.2,0,~,~,
HyperAgent,9,10,1.3,1,13,13,13
HyperAgent,9,10,1.4,1,19,19,
HyperAgent,9,10,1.5,0,~,~,
HyperAgent,9,10,2.1,0,~,~,
HyperAgent,9,10,2.2,0,~,~,
HyperAgent,9,10,2.3,0,~,~,
HyperAgent,9,10,2.4,0,~,~,
HyperAgent,9,10,2.5,0,~,~,
HyperAgent,9,10,2.6,1,8,8,"8,19"
HyperAgent,9,10,3.1,0,~,~,
HyperAgent,9,10,3.2,0,~,~,20
HyperAgent,9,10,3.3,0,~,~,
HyperAgent,9,11,1.1,0,~,~,
HyperAgent,9,11,1.2,0,~,~,16
HyperAgent,9,11,1.3,1,"12,13","12,13","13,19"
HyperAgent,9,11,1.4,0,~,~,19
HyperAgent,9,11,1.5,0,~,~,
HyperAgent,9,11,2.1,0,~,~,19
HyperAgent,9,11,2.2,0,~,~,
HyperAgent,9,11,2.3,1,"16,17,18","16,19",16
HyperAgent,9,11,2.4,0,~,~,7
HyperAgent,9,11,2.5,0,~,~,19
HyperAgent,9,11,2.6,1,8,8,"8,19"
HyperAgent,9,11,3.1,0,~,~,
HyperAgent,9,11,3.2,0,~,~,20
HyperAgent,9,11,3.3,0,~,~,19
HyperAgent,9,12,1.1,0,~,~,
HyperAgent,9,12,1.2,0,~,~,
HyperAgent,9,12,1.3,1,13,"12,13",13
HyperAgent,9,12,1.4,0,~,~,
HyperAgent,9,12,1.5,0,~,~,20
HyperAgent,9,12,2.1,0,~,~,
HyperAgent,9,12,2.2,0,~,~,
HyperAgent,9,12,2.3,0,~,~,
HyperAgent,9,12,2.4,0,~,~,
HyperAgent,9,12,2.5,0,~,~,"16,20"
HyperAgent,9,12,2.6,1,8,8,"7,8,19"
HyperAgent,9,12,3.1,0,~,~,
HyperAgent,9,12,3.2,0,~,~,19
HyperAgent,9,12,3.3,0,~,~,20
HyperAgent,9,13,1.1,0,~,~,
HyperAgent,9,13,1.2,0,~,~,
HyperAgent,9,13,1.3,1,"12,13","12,13",13
HyperAgent,9,13,1.4,1,19,19,
HyperAgent,9,13,1.5,0,~,~,
HyperAgent,9,13,2.1,0,~,~,
HyperAgent,9,13,2.2,0,~,~,
HyperAgent,9,13,2.3,1,"16,17,18,19",19,
HyperAgent,9,13,2.4,0,~,~,
HyperAgent,9,13,2.5,0,~,~,
HyperAgent,9,13,2.6,1,8,8,"7,8,19"
HyperAgent,9,13,3.1,0,~,~,
HyperAgent,9,13,3.2,0,~,~,"19,20"
HyperAgent,9,13,3.3,0,~,~,
HyperAgent,9,14,1.1,0,~,~,16
HyperAgent,9,14,1.2,0,~,~,
HyperAgent,9,14,1.3,1,"12,13",13,13
HyperAgent,9,14,1.4,0,~,~,
HyperAgent,9,14,1.5,1,global,RETRACTED,
HyperAgent,9,14,2.1,0,~,~,
HyperAgent,9,14,2.2,0,~,~,
HyperAgent,9,14,2.3,0,~,~,19
HyperAgent,9,14,2.4,0,~,~,
HyperAgent,9,14,2.5,0,~,~,"16,19,20"
HyperAgent,9,14,2.6,1,8,8,"8,19"
HyperAgent,9,14,3.1,0,~,~,
