framework,fm,forced_commits,retractions,retraction_rate
ChatDev,1.1,42,4,0.0952
ChatDev,1.2,9,2,0.2222
ChatDev,1.3,45,7,0.1556
ChatDev,1.4,9,8,0.8889
ChatDev,1.5,18,2,0.1111
ChatDev,2.2,3,2,0.6667
ChatDev,2.3,13,4,0.3077
ChatDev,2.4,5,2,0.4
ChatDev,2.6,53,8,0.1509
ChatDev,3.1,3,2,0.6667
ChatDev,3.2,5,0,0.0
ChatDev,3.3,35,1,0.0286
HyperAgent,1.1,21,7,0.3333
HyperAgent,1.2,16,3,0.1875
HyperAgent,1.3,75,0,0.0
HyperAgent,1.4,38,4,0.1053
HyperAgent,1.5,4,2,0.5
HyperAgent,2.1,19,4,0.2105
HyperAgent,2.2,7,3,0.4286
HyperAgent,2.3,29,11,0.3793
HyperAgent,2.4,6,3,0.5
HyperAgent,2.5,1,1,1.0
HyperAgent,2.6,62,3,0.0484
HyperAgent,3.1,3,2,0.6667
HyperAgent,3.2,1,0,0.0
HyperAgent,3.3,25,4,0.16
MetaGPT,1.1,38,2,0.0526
MetaGPT,1.2,9,8,0.8889
MetaGPT,1.3,31,1,0.0323
MetaGPT,1.4,20,2,0.1
MetaGPT,1.5,14,3,0.2143
MetaGPT,2.1,17,8,0.4706
MetaGPT,2.2,26,6,0.2308
MetaGPT,2.3,20,14,0.7
MetaGPT,2.5,1,0,0.0
MetaGPT,2.6,36,6,0.1667
MetaGPT,3.1,13,2,0.1538
MetaGPT,3.2,1,0,0.0
MetaGPT,3.3,28,2,0.0714
ChatDev,OVERALL,240,42,0.175
HyperAgent,OVERALL,307,47,0.1531
MetaGPT,OVERALL,254,54,0.2126
ALL,1.1,101,13,0.1287
ALL,1.2,34,13,0.3824
ALL,1.3,151,8,0.053
ALL,1.4,67,14,0.209
ALL,1.5,36,7,0.1944
ALL,2.1,36,12,0.3333
ALL,2.2,36,11,0.3056
ALL,2.3,62,29,0.4677
ALL,2.4,11,5,0.4545
ALL,2.5,2,1,0.5
ALL,2.6,151,17,0.1126
ALL,3.1,19,6,0.3158
ALL,3.2,7,0,0.0
ALL,3.3,88,7,0.0795
ALL,OVERALL,801,143,0.1785
