fm,judge_majority,judge_agreement,judge_n,forced_majority,forced_agreement,forced_n,semi_majority,semi_agreement,semi_n,relaxed_majority,relaxed_agreement,relaxed_n
1.1,0,0.533,30,global,0.929,14,14,0.429,14,,0.5,30
1.2,0,0.8,30,"20,24,31,35,42,46,55,59",0.333,6,RETRACTED,0.333,6,,0.667,30
1.3,1,0.533,30,"20,24,31,35,42,46",0.188,16,RETRACTED,0.625,16,,0.433,30
1.4,0,1.0,30,,0.0,0,,0.0,0,,0.967,30
1.5,0,0.767,30,global,0.857,7,RETRACTED,0.571,7,,0.967,30
2.1,0,1.0,30,,0.0,0,,0.0,0,,0.967,30
2.2,1,0.9,30,43,0.259,27,14,0.259,27,,0.9,30
2.3,0,1.0,30,,0.0,0,,0.0,0,,0.933,30
2.4,0,0.867,30,14,0.25,4,RETRACTED,0.75,4,,0.867,30
2.5,0,1.0,30,,0.0,0,,0.0,0,,0.567,30
2.6,1,0.7,30,21,0.333,21,25,0.333,21,25,0.533,30
3.1,0,0.9,30,global,1.0,3,21,0.667,3,,0.9,30
3.2,0,1.0,30,,0.0,0,,0.0,0,,0.4,30
3.3,1,0.8,30,21,0.917,24,21,0.875,24,21,0.567,30
