fm,judge_majority,judge_agreement,judge_n,forced_majority,forced_agreement,forced_n,semi_majority,semi_agreement,semi_n,relaxed_majority,relaxed_agreement,relaxed_n
1.1,1,0.6,30,global,1.0,18,1,0.389,18,"1,4",0.3,30
1.2,0,0.533,30,4,0.714,14,RETRACTED,0.857,14,,0.867,30
1.3,0,1.0,30,,0.0,0,,0.0,0,,1.0,30
1.4,0,0.967,30,4,1.0,1,RETRACTED,1.0,1,,1.0,30
1.5,0,0.833,30,global,1.0,5,RETRACTED,0.6,5,,0.9,30
2.1,0,1.0,30,,0.0,0,,0.0,0,,1.0,30
2.2,1,0.967,30,4,0.724,29,4,0.69,29,,0.633,30
2.3,1,0.667,30,4,1.0,20,4,0.6,20,,0.8,30
2.4,0,1.0,30,,0.0,0,,0.0,0,,0.867,30
2.5,0,1.0,30,,0.0,0,,0.0,0,,0.633,30
2.6,1,1.0,30,4,0.967,30,4,0.867,30,4,0.933,30
3.1,0,0.833,30,global,1.0,5,global,1.0,5,,0.933,30
3.2,0,1.0,30,,0.0,0,,0.0,0,2,0.3,30
3.3,0,0.667,30,4,0.6,10,5,0.5,10,,0.533,30
